,PRICE , TIME 
999,2557.45,10:46:00
1000,2557.45,10:46:05
1001,2557.45,10:46:10
1002,2557.45,10:46:15
1003,2557.45,10:46:20
1004,2557.45,10:46:26
1005,2557.45,10:46:31
1006,2557.45,10:46:36
1007,2557.45,10:46:41
1008,2557.45,10:46:46
1009,2557.45,10:46:51
1010,2557.45,10:46:57
1011,2557.45,10:47:02
1012,2557.45,10:47:07
1013,2557.45,10:47:12
1014,2557.45,10:47:17
1015,2557.2,10:47:22
1016,2557.2,10:47:28
1017,2557.2,10:47:33
1018,2557.2,10:47:38
1019,2558.95,10:47:43
1020,2557.2,10:47:48
1021,2557.2,10:47:54
1022,2557.2,10:47:59
1023,2557.2,10:48:04
1024,2557.2,10:48:09
1025,2557.2,10:48:14
1026,2557.2,10:48:19
1027,2557.2,10:48:25
1028,2557.2,10:48:30
1029,2557.2,10:48:35
1030,2557.2,10:48:40
1031,2557.2,10:48:45
1032,2557.2,10:48:51
1033,2557.2,10:48:56
1034,2557.2,10:49:01
1035,2557.2,10:49:06
1036,2557.2,10:49:11
1037,2557.2,10:49:16
1038,2557.2,10:49:22
1039,2557.2,10:49:27
1040,2557.2,10:49:32
1041,2557.2,10:49:37
1042,2557.2,10:49:42
1043,2557.2,10:49:48
1044,2557.2,10:49:53
1045,2557.2,10:49:58
1046,2557.2,10:50:03
1047,2557.2,10:50:08
1048,2557.2,10:50:13
1049,2557.2,10:50:19
1050,2557.2,10:50:24
1051,2557.2,10:50:29
1052,2557.2,10:50:34
1053,2557.2,10:50:39
1054,2557.2,10:50:45
1055,2557.2,10:50:50
1056,2557.2,10:50:55
1057,2557.2,10:51:00
1058,2560.25,10:51:05
1059,2560.25,10:51:10
1060,2560.25,10:51:16
1061,2560.25,10:51:21
1062,2560.25,10:51:26
1063,2560.25,10:51:31
1064,2560.25,10:51:36
1065,2560.25,10:51:42
1066,2560.25,10:51:47
1067,2560.25,10:51:52
1068,2560.25,10:51:57
1069,2560.25,10:52:02
1070,2560.25,10:52:07
1071,2560.25,10:52:13
1072,2560.25,10:52:18
1073,2560.25,10:52:23
1074,2560.25,10:52:28
1075,2560.25,10:52:33
1076,2560.25,10:52:39
1077,2560.25,10:52:44
1078,2560.25,10:52:49
1079,2559.55,10:52:54
1080,2559.55,10:52:59
1081,2559.55,10:53:05
1082,2559.55,10:53:10
1083,2559.55,10:53:15
1084,2559.55,10:53:20
1085,2559.55,10:53:25
1086,2559.55,10:53:30
1087,2559.55,10:53:36
1088,2559.55,10:53:41
1089,2559.55,10:53:46
1090,2559.55,10:53:51
1091,2559.55,10:53:56
1092,2559.55,10:54:02
1093,2559.55,10:54:07
1094,2559.55,10:54:12
1095,2559.55,10:54:17
1096,2559.55,10:54:22
1097,2559.55,10:54:27
1098,2559.55,10:54:33
1099,2557.6,10:54:38
1100,2557.6,10:54:43
1101,2557.6,10:54:48
1102,2557.6,10:54:53
1103,2557.6,10:54:59
1104,2557.6,10:55:04
1105,2557.6,10:55:09
1106,2557.6,10:55:14
1107,2557.6,10:55:19
1108,2557.6,10:55:24
1109,2557.6,10:55:30
1110,2557.6,10:55:35
1111,2557.6,10:55:40
1112,2557.6,10:55:45
1113,2557.6,10:55:50
1114,2557.6,10:55:56
1115,2557.6,10:56:01
1116,2557.6,10:56:06
1117,2557.6,10:56:11
1118,2557.6,10:56:16
1119,2557.6,10:56:22
1120,2557.6,10:56:27
1121,2557.6,10:56:32
1122,2555.45,10:56:37
1123,2555.45,10:56:43
1124,2555.45,10:56:48
1125,2555.45,10:56:53
1126,2555.45,10:56:58
1127,2555.45,10:57:03
1128,2555.45,10:57:09
1129,2555.45,10:57:14
1130,2555.45,10:57:19
1131,2555.45,10:57:24
1132,2555.45,10:57:29
1133,2555.45,10:57:35
1134,2555.45,10:57:40
1135,2555.45,10:57:45
1136,2555.45,10:57:50
1137,2555.45,10:57:55
1138,2555.45,10:58:00
1139,2555.45,10:58:06
1140,2555.45,10:58:11
1141,2555.45,10:58:16
1142,2550.2,10:58:21
1143,2550.2,10:58:26
1144,2550.2,10:58:32
1145,2550.2,10:58:37
1146,2550.2,10:58:42
1147,2550.2,10:58:47
1148,2550.2,10:58:52
1149,2550.2,10:58:57
1150,2550.2,10:59:03
1151,2550.2,10:59:08
1152,2550.2,10:59:13
1153,2550.2,10:59:18
1154,2550.2,10:59:23
1155,2550.2,10:59:29
1156,2550.2,10:59:34
1157,2550.2,10:59:39
1158,2550.2,10:59:44
1159,2550.2,10:59:49
1160,2550.2,10:59:54
1161,2550.2,11:00:00
1162,2550.2,11:00:05
1163,2550.2,11:00:10
1164,2550.2,11:00:15
1165,2551.8,11:00:20
1166,2551.8,11:00:26
1167,2551.8,11:00:31
1168,2551.8,11:00:36
1169,2551.8,11:00:41
1170,2551.8,11:00:46
1171,2551.8,11:00:51
1172,2551.8,11:00:57
1173,2551.8,11:01:02
1174,2551.8,11:01:07
1175,2551.8,11:01:12
1176,2551.8,11:01:17
1177,2551.8,11:01:23
1178,2551.8,11:01:28
1179,2551.8,11:01:33
1180,2551.8,11:01:38
1181,2551.8,11:01:43
1182,2551.8,11:01:49
1183,2551.8,11:01:54
1184,2551.8,11:01:59
1185,2553.0,11:02:04
1186,2553.0,11:02:09
1187,2553.0,11:02:14
1188,2553.0,11:02:20
1189,2553.0,11:02:25
1190,2553.0,11:02:30
1191,2553.0,11:02:35
1192,2553.0,11:02:40
1193,2553.0,11:02:46
1194,2553.0,11:02:51
1195,2553.0,11:02:56
1196,2553.0,11:03:01
1197,2553.0,11:03:06
1198,2553.0,11:03:12
1199,2553.0,11:03:17
1200,2553.0,11:03:22
1201,2553.0,11:03:27
1202,2553.0,11:03:32
1203,2553.0,11:03:37
1204,2553.0,11:03:43
1205,2553.0,11:03:48
1206,2554.0,11:03:53
1207,2554.05,11:03:58
1208,2554.05,11:04:03
1209,2554.05,11:04:09
1210,2554.05,11:04:14
1211,2554.05,11:04:19
1212,2554.05,11:04:24
1213,2554.05,11:04:29
1214,2554.05,11:04:34
1215,2554.05,11:04:40
1216,2554.05,11:04:45
1217,2554.05,11:04:50
1218,2554.05,11:04:55
1219,2554.05,11:05:00
1220,2554.05,11:05:06
1221,2553.0,11:05:11
1222,2554.05,11:05:16
1223,2554.05,11:05:21
1224,2554.05,11:05:26
1225,2554.05,11:05:32
1226,2554.05,11:05:37
1227,2554.05,11:05:42
1228,2553.0,11:05:47
1229,2552.1,11:05:52
1230,2552.1,11:05:57
1231,2552.1,11:06:03
1232,2552.1,11:06:08
1233,2552.1,11:06:13
1234,2552.1,11:06:18
1235,2552.1,11:06:23
1236,2552.1,11:06:29
1237,2552.1,11:06:34
1238,2552.1,11:06:39
1239,2552.1,11:06:44
1240,2552.1,11:06:49
1241,2552.1,11:06:55
1242,2552.1,11:07:00
1243,2552.1,11:07:05
1244,2552.1,11:07:10
1245,2552.1,11:07:15
1246,2552.1,11:07:21
1247,2552.1,11:07:26
1248,2552.1,11:07:31
1249,2552.1,11:07:36
1250,2552.1,11:07:41
1251,2552.1,11:07:46
1252,2552.1,11:07:52
1253,2552.1,11:07:57
1254,2552.1,11:08:02
1255,2550.7,11:08:07
1256,2550.7,11:08:12
1257,2550.7,11:08:18
1258,2550.7,11:08:23
1259,2550.7,11:08:28
1260,2550.7,11:08:33
1261,2550.7,11:08:38
1262,2550.7,11:08:43
1263,2550.7,11:08:49
1264,2550.7,11:08:54
1265,2550.7,11:08:59
1266,2550.7,11:09:04
1268,2544.95,11:56:50
1269,2544.95,11:56:55
1270,2544.95,11:57:00
1271,2544.95,11:57:05
1272,2544.95,11:57:10
1273,2541.5,11:57:16
1274,2541.5,11:57:21
1275,2541.5,11:57:26
1276,2541.5,11:57:31
1277,2541.5,11:57:36
1278,2541.5,11:57:41
1279,2541.5,11:57:47
1280,2541.5,11:57:52
1281,2541.5,11:57:57
1282,2541.5,11:58:02
1283,2541.5,11:58:07
1284,2541.5,11:58:12
1285,2541.5,11:58:18
1286,2541.5,11:58:23
